"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2013', 'Quantity')","('May 2013', 'CIF (Baht)')","('Jan - May 2013', 'Quantity')","('Jan - May 2013', 'CIF (Baht)')"
BE,BELGIUM,0,0,250,102225
CN,CHINA,4000,263661,5000,320557
DE,GERMANY,1000,95403,5950,598164
ID,INDONESIA,21250,1690890,76225,6171337
IL,ISRAEL,3640,600408,3640,600408
JP,JAPAN,21809,920070,32924,1321662
KW,KUWAIT,123750,5116038,841500,35291733
MY,MALAYSIA,1614500,70214740,5073500,221097145
QA,QATAR,178500,7276288,1045500,42926862
SA,SAUDI ARABIA,2020750,86041632,11995000,520047778
SG,SINGAPORE,40950,1888072,1240350,58335389
ES,SPAIN,0,0,11000,1036520
AE,UNITED ARAB EMIRATES,767250,31930293,3551900,155067280
US,UNITED STATES,49500,2275384,767717,45607860
SUM,SUM,4846899,208312879,24650456,1088524920
