"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2017', 'Quantity')","('Jan 2017', 'CIF (Baht)')","('Jan - Jan 2017', 'Quantity')","('Jan - Jan 2017', 'CIF (Baht)')"
AU,AUSTRALIA,400,118151,400,118151
CA,CANADA,2500,357526,2500,357526
CN,CHINA,95346,4254552,95346,4254552
FR,FRANCE,53972,4604355,53972,4604355
DE,GERMANY,811,384825,811,384825
IN,INDIA,400,75057,400,75057
ID,INDONESIA,200,48354,200,48354
IT,ITALY,850,111470,850,111470
JP,JAPAN,206394,28986565,206394,28986565
KR,"KOREA,REPUBLIC OF",470700,24003984,470700,24003984
MY,MALAYSIA,133581,11070075,133581,11070075
NL,NETHERLANDS,90260,7892325,90260,7892325
NZ,NEW ZEALAND,50,41497,50,41497
SA,SAUDI ARABIA,915750,35093283,915750,35093283
SG,SINGAPORE,69040,10993717,69040,10993717
ES,SPAIN,11000,1012189,11000,1012189
TW,"TAIWAN, PROVINCE OF CHINA",25168,1432825,25168,1432825
GB,UNITED KINGDOM,11729,1435556,11729,1435556
US,UNITED STATES,176015,32137114,176015,32137114
VN,VIETNAM,10046,847269,10046,847269
SUM,SUM,2274212,164900689,2274212,164900689
