"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2016', 'Quantity')","('Mar 2016', 'CIF (Baht)')","('Jan - Mar 2016', 'Quantity')","('Jan - Mar 2016', 'CIF (Baht)')"
AU,AUSTRALIA,2500,971835,2500,971835
AT,AUSTRIA,0,0,1375,36280
BE,BELGIUM,750,97228,110751,10025156
BR,BRAZIL,0,0,450,152524
KH,CAMBODIA,0,0,5,1814
CN,CHINA,25727,2363967,101129,8928177
FI,FINLAND,74250,3694569,272250,13815446
FR,FRANCE,0,0,0,2136
DE,GERMANY,443064,27132825,919685,61979471
HK,HONG KONG,0,0,100,23302
IN,INDIA,1925,468589,1957,475613
ID,INDONESIA,48010,2064441,61010,4268540
JP,JAPAN,307990,19933934,993470,66633401
KR,"KOREA,REPUBLIC OF",356006,21216883,890537,51175445
KW,KUWAIT,123750,4713455,1039500,42536959
MY,MALAYSIA,4054910,165464310,10531118,440456646
NL,NETHERLANDS,356850,20446464,734140,42432411
NZ,NEW ZEALAND,0,0,1,6929
PL,POLAND,0,0,8003,1324547
QA,QATAR,347000,13370664,2088500,84470668
SA,SAUDI ARABIA,3546987,140321414,8756287,351104635
SG,SINGAPORE,3309650,144548226,7711280,345550392
ES,SPAIN,10000,911628,11500,974472
TW,"TAIWAN, PROVINCE OF CHINA",10750,1941727,11500,2095625
TH,THAILAND,935,89016,935,89016
AE,UNITED ARAB EMIRATES,143237,5225074,402237,16118902
GB,UNITED KINGDOM,24,85041,2024,520427
US,UNITED STATES,72507,6351939,270220,23128827
VN,VIETNAM,4000,546985,10000,1431121
SUM,SUM,13240822,581960214,34932464,1570730717
