"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2015', 'Quantity')","('Sept 2015', 'CIF (Baht)')","('Jan - Sept 2015', 'Quantity')","('Jan - Sept 2015', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,678082,18626451
AT,AUSTRIA,5500,344333,16500,960740
BE,BELGIUM,160394,10936579,891364,51693206
BR,BRAZIL,25000,2415794,244500,23076752
CA,CANADA,11000,639476,51711,3689127
CN,CHINA,28500,1409680,2332560,107035413
DK,DENMARK,27,14494,54,28988
FI,FINLAND,0,0,46750,2574007
FR,FRANCE,0,0,1600,92997
DE,GERMANY,3000,3696104,276745,45525723
HK,HONG KONG,0,0,22,4633
IN,INDIA,0,0,1000,167776
ID,INDONESIA,0,0,46326,2062855
IL,ISRAEL,0,0,25,12667
IT,ITALY,0,0,195331,10043798
JP,JAPAN,1684987,82439183,14032887,742075739
KR,"KOREA,REPUBLIC OF",28190,999458,942775,44422152
KW,KUWAIT,915750,42471081,6509250,283836772
MY,MALAYSIA,174000,8015723,2759782,122806670
NL,NETHERLANDS,1375,281369,34775,2536111
QA,QATAR,255000,12050952,5473500,247747137
SA,SAUDI ARABIA,4171000,188174092,29519850,1271150260
SG,SINGAPORE,1724300,79414663,16614709,733783305
CH,SWITZERLAND,0,0,80,74769
TW,"TAIWAN, PROVINCE OF CHINA",0,0,87635,5401085
TH,THAILAND,0,0,26,4627
AE,UNITED ARAB EMIRATES,1039500,42668641,10246150,426782991
GB,UNITED KINGDOM,0,0,20,4738
US,UNITED STATES,522030,25900566,4410682,228369848
VN,VIETNAM,0,0,500,32442
SUM,SUM,10749553,501872188,95415191,4374623779
