"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2018', 'Quantity')","('Feb 2018', 'CIF (Baht)')","('Jan - Feb 2018', 'Quantity')","('Jan - Feb 2018', 'CIF (Baht)')"
AT,AUSTRIA,284,439629,284,439629
BE,BELGIUM,11200,787920,25140,2280402
BR,BRAZIL,0,0,382,132544
CA,CANADA,31,394234,39,471412
CN,CHINA,208438,11068996,380558,18866313
DK,DENMARK,0,0,2,12948
FR,FRANCE,20405,1289754,25430,1735847
DE,GERMANY,480,147296,1019,406897
IN,INDIA,23032,1990029,23032,1990029
ID,INDONESIA,8,5195,8,5195
IT,ITALY,2790,414154,3810,533785
JP,JAPAN,209718,37092036,350113,61852630
KR,"KOREA,REPUBLIC OF",169275,8711901,327750,17095829
MY,MALAYSIA,67220,5815973,141440,11977380
NL,NETHERLANDS,0,0,80000,7099599
NZ,NEW ZEALAND,52,33301,52,33301
SA,SAUDI ARABIA,173250,7118565,569250,22585452
SG,SINGAPORE,20324,2550487,83574,8647592
ES,SPAIN,0,0,13925,1161904
CH,SWITZERLAND,0,0,1350,846799
TW,"TAIWAN, PROVINCE OF CHINA",144125,6492806,333875,14961718
GB,UNITED KINGDOM,280,75803,30980,3924681
US,UNITED STATES,221044,26704503,355811,49615459
VN,VIETNAM,9020,675546,16020,1219244
SUM,SUM,1280976,111808128,2763844,227896589
