"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2017', 'Quantity')","('Jul 2017', 'CIF (Baht)')","('Jan - Jul 2017', 'Quantity')","('Jan - Jul 2017', 'CIF (Baht)')"
BE,BELGIUM,0,0,24000,2442246
CN,CHINA,0,0,183300,10794779
HK,HONG KONG,79194,6020652,140796,11774357
JP,JAPAN,5000,682834,9006,931535
KR,"KOREA,REPUBLIC OF",192858,11530898,734298,49014515
MY,MALAYSIA,0,0,10600,674710
NZ,NEW ZEALAND,0,0,631,379177
SG,SINGAPORE,4,3587,475402,29563834
SE,SWEDEN,0,0,112000,8899228
AE,UNITED ARAB EMIRATES,84000,4273174,627698,30289140
GB,UNITED KINGDOM,0,0,17250,1888151
US,UNITED STATES,197852,10709452,614563,37173559
VN,VIETNAM,0,0,163089,9618771
SUM,SUM,558908,33220597,3112633,193444002
