"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2017', 'Quantity')","('Jun 2017', 'CIF (Baht)')","('Jan - Jun 2017', 'Quantity')","('Jan - Jun 2017', 'CIF (Baht)')"
AT,AUSTRIA,0,0,24750,1379852
BE,BELGIUM,0,0,20020,865056
BR,BRAZIL,0,0,4667271,247032851
CN,CHINA,115900,4876650,192944,10783052
FI,FINLAND,49500,2826885,396000,21675042
DE,GERMANY,288093,20387345,1986947,130987783
IN,INDIA,6250,388254,7251,460928
ID,INDONESIA,2550,924736,168095,12752937
IL,ISRAEL,20800,1685712,62000,5164812
IT,ITALY,0,0,0,3332
JP,JAPAN,281728,19917056,1641828,125572790
KR,"KOREA,REPUBLIC OF",356231,20151563,1710255,98210366
KW,KUWAIT,693000,28608924,2277000,95522144
LA,LAO PDR,0,0,27500,1292500
MY,MALAYSIA,3784241,176902328,16196420,765296422
MX,MEXICO,0,0,99000,4598041
NL,NETHERLANDS,236690,14272975,1524685,89962278
NO,NORWAY,0,0,52250,3034899
QA,QATAR,1096500,50245155,4105026,184471154
SA,SAUDI ARABIA,3505300,150457756,15813974,704461965
SG,SINGAPORE,2467500,122331287,14569611,738859566
ZA,SOUTH AFRICA,0,0,99000,4057657
ES,SPAIN,50746,4482720,156986,13679650
CH,SWITZERLAND,200,70544,660,198900
TW,"TAIWAN, PROVINCE OF CHINA",200,53636,9585,1100489
TH,THAILAND,26000,1222000,31200,1547676
AE,UNITED ARAB EMIRATES,131720,3920661,862434,28220305
GB,UNITED KINGDOM,6050,1002141,19954,3347422
US,UNITED STATES,163570,11957436,725176,59151498
VN,VIETNAM,4000,534400,80173,6334156
SUM,SUM,13286769,637220164,67527995,3360025523
