"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2012', 'Quantity')","('Dec 2012', 'CIF (Baht)')","('Jan - Dec 2012', 'Quantity')","('Jan - Dec 2012', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,16995,641803
AT,AUSTRIA,0,0,1375,114731
BE,BELGIUM,24750,1420179,2389930,145077894
BR,BRAZIL,0,0,33000,2820767
CA,CANADA,0,0,62868,4793714
CN,CHINA,47000,1325007,2275672,105988702
FR,FRANCE,0,0,99517,7792625
DE,GERMANY,110250,9898843,867127,106312759
HK,HONG KONG,0,0,20000,3252336
IN,INDIA,0,0,563500,25266113
ID,INDONESIA,0,0,567526,26101695
IR,IRAN (ISLAMIC REPUBLIC OF),0,0,1831500,75727660
IL,ISRAEL,0,0,60,5214
IT,ITALY,0,0,25,10342
JP,JAPAN,1532117,92087653,18243493,1178835508
KR,"KOREA,REPUBLIC OF",680,119980,831427,38343232
KW,KUWAIT,371250,15576165,4430350,187736391
MY,MALAYSIA,558500,24584975,5227575,238693986
MX,MEXICO,0,0,387,78708
NL,NETHERLANDS,500,162889,108100,10040570
QA,QATAR,2595460,116159720,31986602,1460133484
SA,SAUDI ARABIA,2004750,86190581,22069125,955257087
SG,SINGAPORE,1979310,87111975,31857806,1441433171
SE,SWEDEN,0,0,22000,1719647
CH,SWITZERLAND,0,0,16730,922577
TW,"TAIWAN, PROVINCE OF CHINA",0,0,35075,1682028
TH,THAILAND,0,0,22138,951414
AE,UNITED ARAB EMIRATES,854500,35484478,21003931,886606189
GB,UNITED KINGDOM,0,0,0,396
US,UNITED STATES,0,0,379812,26536775
SUM,SUM,10079067,470122445,144963646,6932877518
