"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2012', 'Quantity')","('Feb 2012', 'CIF (Baht)')","('Jan - Feb 2012', 'Quantity')","('Jan - Feb 2012', 'CIF (Baht)')"
BE,BELGIUM,12000,1294914,12000,1294914
CN,CHINA,48000,3656427,48000,3656427
JP,JAPAN,0,0,16,17412
KR,"KOREA,REPUBLIC OF",15000,1390901,16800,1586098
LU,LUXEMBOURG,2,1168,2,1168
QA,QATAR,102000,4596946,102000,4596946
SG,SINGAPORE,205000,8561536,407600,15948746
SE,SWEDEN,0,0,1400,286038
AE,UNITED ARAB EMIRATES,13000,637459,39000,1900114
US,UNITED STATES,52072,6606601,62662,7428572
SUM,SUM,447074,26745952,689480,36716435
