"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2015', 'Quantity')","('Mar 2015', 'CIF (Baht)')","('Jan - Mar 2015', 'Quantity')","('Jan - Mar 2015', 'CIF (Baht)')"
AT,AUSTRIA,0,0,37125,2371821
BE,BELGIUM,228695,18265850,278145,20977165
BR,BRAZIL,0,0,25,15585
CN,CHINA,17375,932410,66751,5722264
EG,EGYPT,150,8998,250,15642
FI,FINLAND,0,0,70000,4327786
DE,GERMANY,308739,20658012,614168,40793952
HK,HONG KONG,24750,942978,24750,942978
IN,INDIA,0,0,1,165
ID,INDONESIA,2025,1060610,3900,1674085
IT,ITALY,0,0,12830,456310
JP,JAPAN,416977,28597980,1441543,101001180
KR,"KOREA,REPUBLIC OF",310000,18600010,804197,50082283
KW,KUWAIT,420750,15344972,1113750,45238198
MY,MALAYSIA,1673320,66824705,5380223,230884390
NL,NETHERLANDS,212080,11093350,807220,45438801
QA,QATAR,586500,22345986,1045500,43002833
SA,SAUDI ARABIA,2870100,112198965,7209900,296782235
SG,SINGAPORE,2486250,106712990,6592582,305566097
ES,SPAIN,0,0,164000,16173013
CH,SWITZERLAND,0,0,36690,7292786
TW,"TAIWAN, PROVINCE OF CHINA",2000,190499,25075,1487712
AE,UNITED ARAB EMIRATES,234500,9676433,605792,23538645
GB,UNITED KINGDOM,0,0,3,10860
US,UNITED STATES,78911,8398226,345383,28055757
VN,VIETNAM,0,0,20175,2043055
SUM,SUM,9873122,441852974,26699978,1273895598
