"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2013', 'Quantity')","('May 2013', 'CIF (Baht)')","('Jan - May 2013', 'Quantity')","('Jan - May 2013', 'CIF (Baht)')"
AU,AUSTRALIA,1958,552213,4458,715719
AT,AUSTRIA,0,0,3,2512
BE,BELGIUM,177000,11821485,544725,35532466
CN,CHINA,1027593,68414134,5773096,367957860
FI,FINLAND,23375,1454568,89375,5658163
FR,FRANCE,144785,7484411,255697,14798531
DE,GERMANY,21000,3296407,147245,25346338
HK,HONG KONG,0,0,16864,986804
IN,INDIA,21805,1238259,25330,1393904
ID,INDONESIA,2500,206852,73529,10090723
IL,ISRAEL,5460,444524,17500,1695506
IT,ITALY,800,100607,800,100607
JP,JAPAN,1067304,90391333,5289856,416833434
KP,KOREA DPR,0,0,48000,2572900
KR,"KOREA,REPUBLIC OF",2628035,143903591,13145861,728305440
KW,KUWAIT,0,0,49500,2107363
MY,MALAYSIA,86288,11808507,545908,65181086
MX,MEXICO,45,14428,45,14428
NL,NETHERLANDS,49500,4006967,415000,35032792
NZ,NEW ZEALAND,0,0,8750,564857
PT,PORTUGAL,1200,90980,1200,90980
SA,SAUDI ARABIA,4607710,199103077,18838390,841580948
SG,SINGAPORE,1829891,89270600,7598429,401151300
ES,SPAIN,0,0,46750,5155302
CH,SWITZERLAND,1,2007,101,474851
TW,"TAIWAN, PROVINCE OF CHINA",429480,19048570,1050165,52530266
TH,THAILAND,162,26609,162,26609
AE,UNITED ARAB EMIRATES,0,0,393830,17489632
GB,UNITED KINGDOM,0,0,500,72156
US,UNITED STATES,764588,37787347,1687809,89934836
VN,VIETNAM,186,121347,5274,1354470
SUM,SUM,12890666,690588823,56074152,3124752783
