"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2022', 'Quantity')","('Jan 2022', 'CIF (Baht)')","('Jan - Jan 2022', 'Quantity')","('Jan - Jan 2022', 'CIF (Baht)')"
AU,AUSTRALIA,16140,1240941,16140,1240941
BE,BELGIUM,1400,219308,1400,219308
BR,BRAZIL,396700,30070260,396700,30070260
CA,CANADA,24750,1146388,24750,1146388
CN,CHINA,28300,5710798,28300,5710798
DE,GERMANY,309610,24268419,309610,24268419
IN,INDIA,8,1389,8,1389
ID,INDONESIA,7500,3948481,7500,3948481
IT,ITALY,1250,608000,1250,608000
JP,JAPAN,280188,23136268,280188,23136268
KR,"KOREA,REPUBLIC OF",266005,14692192,266005,14692192
KW,KUWAIT,891000,39941286,891000,39941286
MY,MALAYSIA,4804532,265219627,4804532,265219627
NL,NETHERLANDS,435630,32074053,435630,32074053
NO,NORWAY,60630,5713892,60630,5713892
QA,QATAR,841500,42286195,841500,42286195
SA,SAUDI ARABIA,2624250,128080342,2624250,128080342
SG,SINGAPORE,1886375,108550169,1886375,108550169
CH,SWITZERLAND,1,2325,1,2325
TW,"TAIWAN, PROVINCE OF CHINA",18543,3060806,18543,3060806
TH,THAILAND,30,11124,30,11124
AE,UNITED ARAB EMIRATES,371250,17932938,371250,17932938
GB,UNITED KINGDOM,2,24882,2,24882
US,UNITED STATES,262855,14849663,262855,14849663
VN,VIETNAM,40000,2186851,40000,2186851
SUM,SUM,13568449,764976597,13568449,764976597
