"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2016', 'Quantity')","('May 2016', 'CIF (Baht)')","('Jan - May 2016', 'Quantity')","('Jan - May 2016', 'CIF (Baht)')"
AU,AUSTRALIA,599,75730,599,75730
BE,BELGIUM,0,0,49950,2825672
CN,CHINA,2000,165200,331000,25493198
ID,INDONESIA,25500,2300060,149725,13750881
IL,ISRAEL,0,0,5980,479291
JP,JAPAN,890450,48356759,2956524,158921534
KR,"KOREA,REPUBLIC OF",35650,1627211,97450,4814190
KW,KUWAIT,173250,7185685,841500,33007181
MY,MALAYSIA,1443000,64928138,3694309,158224871
NL,NETHERLANDS,44750,2266640,472250,22239443
PH,PHILIPPINES,0,0,17000,729244
QA,QATAR,306000,12763304,1428100,55486393
SA,SAUDI ARABIA,4158000,171865661,14197428,573449389
SG,SINGAPORE,250500,11130533,1754684,75674461
ES,SPAIN,2750,280851,2750,280851
TH,THAILAND,0,0,16000,638611
AE,UNITED ARAB EMIRATES,767275,33554576,3936725,161623544
GB,UNITED KINGDOM,0,0,5,2851
US,UNITED STATES,99009,7576277,633296,40874962
SUM,SUM,8198733,364076625,30585275,1328592297
