"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2021', 'Quantity')","('Jan 2021', 'CIF (Baht)')","('Jan - Jan 2021', 'Quantity')","('Jan - Jan 2021', 'CIF (Baht)')"
BE,BELGIUM,99000,4160329,99000,4160329
CA,CANADA,50000,1390695,50000,1390695
CN,CHINA,81000,5148404,81000,5148404
ID,INDONESIA,554750,15946494,554750,15946494
JP,JAPAN,31160,2978011,31160,2978011
KR,"KOREA,REPUBLIC OF",42000,1561811,42000,1561811
KW,KUWAIT,222750,6375127,222750,6375127
MY,MALAYSIA,105000,3441783,105000,3441783
QA,QATAR,25500,871149,25500,871149
SA,SAUDI ARABIA,2067300,63317084,2067300,63317084
SG,SINGAPORE,414950,15307570,414950,15307570
TW,"TAIWAN, PROVINCE OF CHINA",200,405539,200,405539
AE,UNITED ARAB EMIRATES,990000,31262069,990000,31262069
US,UNITED STATES,178250,7155551,178250,7155551
VN,VIETNAM,25,3739,25,3739
SUM,SUM,4861885,159325355,4861885,159325355
