"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2022', 'Quantity')","('Oct 2022', 'CIF (Baht)')","('Jan - Oct 2022', 'Quantity')","('Jan - Oct 2022', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,22431,1934473
BE,BELGIUM,26150,1966566,110139,9888984
BR,BRAZIL,420750,36511279,3966026,312282847
CA,CANADA,0,0,145210,5736136
CN,CHINA,28500,1817311,1290863,84490622
DK,DENMARK,0,0,200,58026
FI,FINLAND,123750,11242745,519200,46244526
FR,FRANCE,11000,1535894,107430,13341190
DE,GERMANY,265348,22232872,4811316,405535192
HK,HONG KONG,0,0,121,2654336
IN,INDIA,0,0,1008,514445
ID,INDONESIA,7501,4133414,29931,11311925
IE,IRELAND,0,0,1,3427
IL,ISRAEL,0,0,9600,1101525
IT,ITALY,600,227486,44268,15799154
JP,JAPAN,201128,21061030,1896019,174384641
KR,"KOREA,REPUBLIC OF",198000,13073532,2246815,133709894
KW,KUWAIT,643500,25268533,7375500,328307010
LU,LUXEMBOURG,3100,760405,34850,7792773
MY,MALAYSIA,5049510,240270538,49609924,2729510752
MX,MEXICO,0,0,3,2732
NL,NETHERLANDS,348370,33063864,2735290,257637288
NO,NORWAY,85440,9168457,571500,56062018
OM,OMAN,470250,17300744,2079000,88755622
PH,PHILIPPINES,0,0,1,229
QA,QATAR,1402500,64269756,11730000,613750104
SA,SAUDI ARABIA,2298445,102400162,31190319,1596004164
SG,SINGAPORE,1802000,97648407,18442775,1102272561
ES,SPAIN,0,0,25,12857
CH,SWITZERLAND,0,0,28,30778
TW,"TAIWAN, PROVINCE OF CHINA",29500,1553767,264882,22201281
TH,THAILAND,0,0,171030,9596920
AE,UNITED ARAB EMIRATES,173250,7353861,4430325,218145324
GB,UNITED KINGDOM,0,0,5171,1326362
US,UNITED STATES,186939,12260152,1683794,107591231
VN,VIETNAM,122000,6987295,475410,32035488
SUM,SUM,13897531,732108070,146000405,8390026837
