"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2019', 'Quantity')","('May 2019', 'CIF (Baht)')","('Jan - May 2019', 'Quantity')","('Jan - May 2019', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,7,6647
AT,AUSTRIA,42,47215,142,216587
BE,BELGIUM,2460,339439,3260,735422
BZ,BELIZE,0,0,382,139002
BR,BRAZIL,0,0,1146,413839
CA,CANADA,11,162282,78,758454
CN,CHINA,95241,6106734,462369,26220278
CZ,CZECH REPUBLIC,720,254111,720,254111
DK,DENMARK,0,0,2,13283
SZ,ESWATINI,0,0,500,98181
FR,FRANCE,59911,3130806,161090,9631935
DE,GERMANY,22002,5196556,47487,11501084
HK,HONG KONG,8000,2060942,32100,8293089
IN,INDIA,5000,546898,15116,1676082
ID,INDONESIA,120,36624,23220,2075295
IT,ITALY,1020,117515,6090,870408
JP,JAPAN,223102,28247286,788830,131742328
KR,"KOREA,REPUBLIC OF",180000,10806441,1630992,92231811
MY,MALAYSIA,121091,10405452,569292,47772217
NL,NETHERLANDS,150060,12826594,692353,58416911
NZ,NEW ZEALAND,0,0,24,21306
NO,NORWAY,0,0,1,697
SA,SAUDI ARABIA,24750,956406,816750,30727194
SG,SINGAPORE,45216,4938041,287012,29931319
CH,SWITZERLAND,300,299661,600,455751
TW,"TAIWAN, PROVINCE OF CHINA",48000,5099870,298000,21658131
TH,THAILAND,1000,70085,5000,407044
AE,UNITED ARAB EMIRATES,272250,10767663,2029500,80577146
GB,UNITED KINGDOM,11700,1254326,39000,4231179
US,UNITED STATES,69051,8973888,511439,60647301
VN,VIETNAM,9150,721457,38151,3061597
SUM,SUM,1350197,113366292,8460653,624785629
