"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2014', 'Quantity')","('Apr 2014', 'CIF (Baht)')","('Jan - Apr 2014', 'Quantity')","('Jan - Apr 2014', 'CIF (Baht)')"
BE,BELGIUM,54000,3956488,286500,20580592
BR,BRAZIL,0,0,1000,151504
CA,CANADA,17000,1444561,17000,1444561
CN,CHINA,18150,883794,125955,7285852
FR,FRANCE,0,0,11000,933832
DE,GERMANY,10000,1000030,10100,1032775
HK,HONG KONG,3850,259722,12100,819823
ID,INDONESIA,0,0,288,1758
IT,ITALY,13000,2011208,73360,11055529
JP,JAPAN,192754,15338353,594819,44978246
KR,"KOREA,REPUBLIC OF",248500,15680040,527516,33662774
MY,MALAYSIA,89880,4106157,523140,23313542
NL,NETHERLANDS,0,0,2750,293198
SG,SINGAPORE,28200,1959011,59906,3423097
ES,SPAIN,29,6676,29,6676
TW,"TAIWAN, PROVINCE OF CHINA",118857,7905298,346357,22522247
TH,THAILAND,40500,2432052,40647,2465512
TR,TÜRKIYE,290,32829,290,32829
GB,UNITED KINGDOM,165,13511,165,13511
US,UNITED STATES,23575,4202500,119450,16004644
VN,VIETNAM,107647,1427686,244027,4162246
SUM,SUM,966397,62659916,2996399,194184748
