"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2017', 'Quantity')","('Dec 2017', 'CIF (Baht)')","('Jan - Dec 2017', 'Quantity')","('Jan - Dec 2017', 'CIF (Baht)')"
AG,ANTIGUA AND BARBUDA,0,0,24750,1158550
AU,AUSTRALIA,0,0,10030,1218415
AT,AUSTRIA,0,0,337500,18892769
BE,BELGIUM,0,0,178400,9054527
CA,CANADA,0,0,4000,724051
CN,CHINA,144688,10586743,836895,85478334
FI,FINLAND,0,0,5500,237752
FR,FRANCE,184300,9389260,1144945,56765994
DE,GERMANY,12560,1673803,130121,18706425
HK,HONG KONG,2000,223286,4000,459101
IN,INDIA,16,5524,5779,621894
ID,INDONESIA,12512,1280618,201183,21428456
IT,ITALY,500,114563,9226,908275
JP,JAPAN,526992,42080514,9563095,667372715
KR,"KOREA,REPUBLIC OF",667146,33434066,5096876,250937649
MY,MALAYSIA,33100,1492502,290480,13643606
MX,MEXICO,0,0,810,504339
NL,NETHERLANDS,93525,6698091,1302150,86570098
NG,NIGERIA,0,0,50,21810
PH,PHILIPPINES,0,0,27,10003
SA,SAUDI ARABIA,148500,6060359,1658250,66497370
SG,SINGAPORE,5668320,258074784,60940956,2782397345
ZA,SOUTH AFRICA,0,0,74250,2752999
ES,SPAIN,2750,272597,173300,16031655
SE,SWEDEN,18,11139,108,123430
CH,SWITZERLAND,20,18047,1270,254669
TW,"TAIWAN, PROVINCE OF CHINA",43538,2077189,2014608,96107459
TH,THAILAND,0,0,7369,396262
AE,UNITED ARAB EMIRATES,481250,19971923,5152300,212898066
GB,UNITED KINGDOM,0,0,2065,809152
US,UNITED STATES,300,53906,524553,45946951
VN,VIETNAM,0,0,36,7756
SUM,SUM,8022035,393518914,89694882,4458937877
