"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2015', 'Quantity')","('Nov 2015', 'CIF (Baht)')","('Jan - Nov 2015', 'Quantity')","('Jan - Nov 2015', 'CIF (Baht)')"
AU,AUSTRALIA,500,50816,500,50816
BR,BRAZIL,0,0,26,13519
CN,CHINA,22,189114,82,498392
DE,GERMANY,0,0,87,56556
JP,JAPAN,100,28384,10894,1780649
KR,"KOREA,REPUBLIC OF",0,0,52500,2515865
MY,MALAYSIA,0,0,82500,3987035
SA,SAUDI ARABIA,16500,758144,1071500,47026683
SG,SINGAPORE,0,0,198000,8645279
ES,SPAIN,24750,1096709,247500,10193696
AE,UNITED ARAB EMIRATES,500,20401,149000,7015830
SUM,SUM,42372,2143568,1812589,81784320
