"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2012', 'Quantity')","('Feb 2012', 'CIF (Baht)')","('Jan - Feb 2012', 'Quantity')","('Jan - Feb 2012', 'CIF (Baht)')"
BE,BELGIUM,0,0,12000,1329030
CN,CHINA,10500,1179597,10500,1179597
FI,FINLAND,0,0,2000,226316
JP,JAPAN,108000,8912056,239000,19848656
KR,"KOREA,REPUBLIC OF",415000,25226865,473000,28653039
MY,MALAYSIA,60000,3811744,180000,11418477
SE,SWEDEN,49500,3589816,96250,6946288
AE,UNITED ARAB EMIRATES,396850,18678948,552850,25990091
US,UNITED STATES,218982,16800879,290258,22165816
VN,VIETNAM,51000,3108904,102000,6200004
SUM,SUM,1309832,81308809,1957858,123957314
