"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2022', 'Quantity')","('Aug 2022', 'CIF (Baht)')","('Jan - Aug 2022', 'Quantity')","('Jan - Aug 2022', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,17552,1328473
AT,AUSTRIA,5500,667620,11500,1348473
BE,BELGIUM,450,134271,222352,21652363
BR,BRAZIL,0,0,9000,2243370
CA,CANADA,54500,4023616,221345,16427061
CN,CHINA,1581783,69220943,9830263,453026644
FI,FINLAND,0,0,25,18143
FR,FRANCE,0,2253,192,104461
DE,GERMANY,56373,8040317,188101,24727100
HK,HONG KONG,24503,391489,74007,1392535
IS,ICELAND,0,0,2000,263742
IN,INDIA,107,19358,40512,5112264
ID,INDONESIA,0,0,1500,144674
IL,ISRAEL,0,0,20000,1901916
IT,ITALY,1500,749816,35247,9203760
JP,JAPAN,295498,42021562,2017670,272657084
KR,"KOREA,REPUBLIC OF",82750,8443174,2737971,210573010
MY,MALAYSIA,21380,1818056,271162,20306483
NL,NETHERLANDS,0,0,8875,1918337
AN,NETHERLANDS ANTILLES,5000,615922,10000,1189061
NZ,NEW ZEALAND,0,0,737,491579
OM,OMAN,99200,4442458,99200,4442458
QA,QATAR,0,0,229500,12986389
SA,SAUDI ARABIA,173250,10377233,596750,33625043
SG,SINGAPORE,466900,32120507,5019281,310789186
ES,SPAIN,0,0,556,250324
CH,SWITZERLAND,1,1473,176,270567
TW,"TAIWAN, PROVINCE OF CHINA",5400,677595,57327,7219089
TH,THAILAND,0,0,17600,1809292
TN,TUNISIA,0,0,94,30884
AE,UNITED ARAB EMIRATES,0,0,266975,12834770
GB,UNITED KINGDOM,0,0,15693,1795807
US,UNITED STATES,523247,55619828,5341455,509518798
VN,VIETNAM,7066,494828,63513,6445222
SUM,SUM,3404408,239882319,27428131,1948048362
