"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2019', 'Quantity')","('Mar 2019', 'CIF (Baht)')","('Jan - Mar 2019', 'Quantity')","('Jan - Mar 2019', 'CIF (Baht)')"
AU,AUSTRALIA,1100,148937,1110,151630
AT,AUSTRIA,220,69400,1260,411681
CN,CHINA,1131467,61557101,3842055,186936705
HR,CROATIA,200,55094,200,55094
CZ,CZECH REPUBLIC,0,0,202,28715
FI,FINLAND,0,0,46750,2792314
FR,FRANCE,0,0,360,88413
DE,GERMANY,1055,135500,2230,278467
HK,HONG KONG,60,15700,60,15700
IN,INDIA,98060,1871670,101354,2224278
ID,INDONESIA,37500,4213703,99040,9626080
IT,ITALY,10000,813058,25075,2212346
JP,JAPAN,768978,53180028,2729349,174947358
KR,"KOREA,REPUBLIC OF",1980155,94202744,5411853,267059902
MY,MALAYSIA,73761,8059361,192211,17204520
NL,NETHERLANDS,49500,4315546,99000,8837534
OM,OMAN,99000,3337563,346500,11705243
SA,SAUDI ARABIA,2153630,74031331,7131885,255040590
SG,SINGAPORE,637444,32680719,1563719,86987872
ZA,SOUTH AFRICA,0,0,198000,7946640
ES,SPAIN,0,0,11000,907475
TW,"TAIWAN, PROVINCE OF CHINA",404050,18778218,944512,44396825
TH,THAILAND,0,0,24830,280764
AE,UNITED ARAB EMIRATES,173575,6087681,673200,24823183
US,UNITED STATES,5655,1568172,30605,4041795
VN,VIETNAM,64173,3005857,73167,4285569
SUM,SUM,7689583,368127383,23549527,1113286693
