"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2013', 'Quantity')","('Nov 2013', 'CIF (Baht)')","('Jan - Nov 2013', 'Quantity')","('Jan - Nov 2013', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,1008,52978
BE,BELGIUM,0,0,250,102225
CA,CANADA,24750,1375494,145750,7914855
CN,CHINA,46350,3694954,177475,13812561
DK,DENMARK,1,18494,1,18494
DE,GERMANY,0,0,8500,863568
ID,INDONESIA,13750,1092100,190675,15699223
IL,ISRAEL,0,0,3640,600408
JP,JAPAN,16000,490145,222624,12699220
KR,"KOREA,REPUBLIC OF",0,0,32000,1642015
KW,KUWAIT,123750,5800335,1584000,68395449
MY,MALAYSIA,177700,10005710,10962700,504597842
NL,NETHERLANDS,20000,1130340,20000,1130340
QA,QATAR,204000,10039852,2218500,97515586
SA,SAUDI ARABIA,2119750,101118594,27104000,1206447103
SG,SINGAPORE,284000,14573278,3404975,165481121
ES,SPAIN,0,0,11000,1036520
AE,UNITED ARAB EMIRATES,563750,27833013,6835225,312721599
US,UNITED STATES,109916,8624949,1477711,96929752
SUM,SUM,3703717,185797258,54400034,2507660859
