"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2013', 'Quantity')","('Apr 2013', 'CIF (Baht)')","('Jan - Apr 2013', 'Quantity')","('Jan - Apr 2013', 'CIF (Baht)')"
BE,BELGIUM,250,102225,250,102225
CN,CHINA,0,0,1000,56896
DE,GERMANY,2750,275292,4950,502761
ID,INDONESIA,20075,1477809,54975,4480447
JP,JAPAN,0,0,11115,401592
KW,KUWAIT,123750,5357632,717750,30175695
MY,MALAYSIA,1012500,45079133,3459000,150882405
QA,QATAR,102000,4476069,867000,35650574
SA,SAUDI ARABIA,3069000,135742268,9974250,434006146
SG,SINGAPORE,250500,11771861,1199400,56447317
ES,SPAIN,0,0,11000,1036520
AE,UNITED ARAB EMIRATES,643500,28375374,2784650,123136987
US,UNITED STATES,256150,15070147,718217,43332476
SUM,SUM,5480475,247727810,19803557,880212041
