"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2020', 'Quantity')","('Sept 2020', 'CIF (Baht)')","('Jan - Sept 2020', 'Quantity')","('Jan - Sept 2020', 'CIF (Baht)')"
CN,CHINA,40500,2454415,305150,20577383
JP,JAPAN,88000,6424000,2198000,145471508
KR,"KOREA,REPUBLIC OF",314000,15749033,3415250,169666127
MY,MALAYSIA,0,0,266000,17259278
SG,SINGAPORE,0,0,25000,2499442
AE,UNITED ARAB EMIRATES,504000,19357138,6230900,217966360
GB,UNITED KINGDOM,14000,941873,14000,941873
US,UNITED STATES,639643,29691524,4074009,192324086
VN,VIETNAM,39775,1762191,215625,9941122
SUM,SUM,1639918,76380174,16743934,776647179
