"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2014', 'Quantity')","('Sept 2014', 'CIF (Baht)')","('Jan - Sept 2014', 'Quantity')","('Jan - Sept 2014', 'CIF (Baht)')"
AT,AUSTRIA,2,18808,11177,801194
BE,BELGIUM,24750,1429319,185250,11698932
BR,BRAZIL,0,0,150,169050
CA,CANADA,0,0,500,126788
CN,CHINA,42610,3921272,707270,43991085
CZ,CZECH REPUBLIC,25,4906,75,13720
DK,DENMARK,0,0,0,1128
FI,FINLAND,74550,4956811,628400,41885971
FR,FRANCE,0,0,50,17815
DE,GERMANY,86957,8848934,1068693,95622460
HK,HONG KONG,0,0,1500,901667
IN,INDIA,49500,2570193,153500,7955455
ID,INDONESIA,0,0,15925,6092396
IT,ITALY,49500,2633655,49560,2693959
JP,JAPAN,178812,16189615,3255257,271433298
KR,"KOREA,REPUBLIC OF",329000,20780692,2751907,174272667
KW,KUWAIT,346500,17848565,3267000,165712759
LU,LUXEMBOURG,0,0,24,15449
MY,MALAYSIA,2986384,159780031,24158783,1330574240
NL,NETHERLANDS,300080,21901737,1997395,152152018
NZ,NEW ZEALAND,32000,837179,352050,9355266
QA,QATAR,51000,2631732,4386000,233978582
SA,SAUDI ARABIA,3066800,159615909,25024725,1315057278
SG,SINGAPORE,2233580,124945868,18766158,1075279135
ES,SPAIN,40000,3522978,1498000,167705567
SE,SWEDEN,9625,674341,12725,982468
CH,SWITZERLAND,0,0,28095,6631786
TW,"TAIWAN, PROVINCE OF CHINA",200,74820,22002,2309723
TH,THAILAND,0,0,28300,1562319
AE,UNITED ARAB EMIRATES,30500,1552564,147400,8113338
GB,UNITED KINGDOM,0,635,40101,2732331
US,UNITED STATES,41934,3044795,2151208,154346980
VN,VIETNAM,6100,827990,33195,4655514
SUM,SUM,9980409,558613349,90742375,5288842338
