"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2021', 'Quantity')","('Mar 2021', 'CIF (Baht)')","('Jan - Mar 2021', 'Quantity')","('Jan - Mar 2021', 'CIF (Baht)')"
AT,AUSTRIA,0,0,10395,755405
BE,BELGIUM,71395,3106004,159766,6697782
BR,BRAZIL,24750,760090,49500,1660797
CN,CHINA,529198,34123209,1148456,72131262
FI,FINLAND,23375,1349897,70125,3658600
DE,GERMANY,10005,841796,10005,841796
HK,HONG KONG,0,0,3,673
HU,HUNGARY,0,0,2750,198459
IN,INDIA,1000,101110,4000,405325
ID,INDONESIA,16000,1181850,21000,1610178
IL,ISRAEL,0,0,48000,3030400
JP,JAPAN,429055,26434494,1422832,84034374
KR,"KOREA,REPUBLIC OF",1449965,59976879,4130865,166431445
MY,MALAYSIA,113169,7739335,247936,17088637
OM,OMAN,198000,7051769,519750,16634431
SA,SAUDI ARABIA,2244500,86416411,7569500,274736654
SG,SINGAPORE,864914,39214076,2239169,99401296
ZA,SOUTH AFRICA,2200,372508,26980,1226441
ES,SPAIN,34775,2859737,37525,3088528
TW,"TAIWAN, PROVINCE OF CHINA",59000,2474095,257550,14729037
TH,THAILAND,0,0,403650,17747949
AE,UNITED ARAB EMIRATES,0,0,198500,7416466
GB,UNITED KINGDOM,100,25407,100,25407
US,UNITED STATES,36390,2795317,188791,9610292
VN,VIETNAM,82500,3007664,82550,3013384
SUM,SUM,6190291,279831648,18849698,806175018
