"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2022', 'Quantity')","('Jan 2022', 'CIF (Baht)')","('Jan - Jan 2022', 'Quantity')","('Jan - Jan 2022', 'CIF (Baht)')"
BE,BELGIUM,24750,2839869,24750,2839869
CA,CANADA,54375,3722120,54375,3722120
CN,CHINA,1008888,52513772,1008888,52513772
DE,GERMANY,27100,3688419,27100,3688419
IT,ITALY,2000,822764,2000,822764
JP,JAPAN,204366,20491569,204366,20491569
KR,"KOREA,REPUBLIC OF",438775,38636161,438775,38636161
MY,MALAYSIA,40545,3110087,40545,3110087
NL,NETHERLANDS,4125,556141,4125,556141
QA,QATAR,25500,1386561,25500,1386561
SA,SAUDI ARABIA,173250,9513561,173250,9513561
SG,SINGAPORE,581825,32161194,581825,32161194
TW,"TAIWAN, PROVINCE OF CHINA",5300,863017,5300,863017
AE,UNITED ARAB EMIRATES,66750,4496013,66750,4496013
GB,UNITED KINGDOM,15300,1443727,15300,1443727
US,UNITED STATES,1425333,112121787,1425333,112121787
VN,VIETNAM,23013,1707015,23013,1707015
SUM,SUM,4121195,290073777,4121195,290073777
