"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2013', 'Quantity')","('May 2013', 'CIF (Baht)')","('Jan - May 2013', 'Quantity')","('Jan - May 2013', 'CIF (Baht)')"
BE,BELGIUM,0,0,72000,6899258
CA,CANADA,0,0,500,54927
CN,CHINA,0,0,94650,10770495
FR,FRANCE,0,0,23100,2121342
DE,GERMANY,53,333970,59903,11510862
IN,INDIA,0,0,2000,221432
IT,ITALY,1375,315353,15125,3072731
JP,JAPAN,20550,2238179,21240,2546299
KR,"KOREA,REPUBLIC OF",21600,1648580,124900,9819829
MY,MALAYSIA,1200,108267,7300,1061094
SG,SINGAPORE,25500,1054214,382525,16106898
SE,SWEDEN,0,0,22400,3380533
CH,SWITZERLAND,0,0,0,1757
TH,THAILAND,0,0,800,73317
AE,UNITED ARAB EMIRATES,73922,3509072,280622,13219138
US,UNITED STATES,600,76496,130558,9827888
VN,VIETNAM,1000,116797,2000,241048
SUM,SUM,145800,9400928,1239623,90928848
