"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2018', 'Quantity')","('Dec 2018', 'CIF (Baht)')","('Jan - Dec 2018', 'Quantity')","('Jan - Dec 2018', 'CIF (Baht)')"
BE,BELGIUM,0,0,140,23067
BR,BRAZIL,0,0,27,16784
CN,CHINA,38,5394,4875,417870
FR,FRANCE,420,88731,12500,2847543
DE,GERMANY,0,0,31,9680
IN,INDIA,0,0,112151,2571741
IL,ISRAEL,0,0,84000,5831731
IT,ITALY,0,0,21250,1509953
JP,JAPAN,31645,4784527,273439,39900161
KR,"KOREA,REPUBLIC OF",108000,8073984,1164075,73029622
MY,MALAYSIA,0,0,2517,273846
NO,NORWAY,0,0,13,3285
QA,QATAR,17000,647713,170000,6827016
SG,SINGAPORE,1,6757,682,210696
SK,SLOVAKIA,0,0,100,30222
TW,"TAIWAN, PROVINCE OF CHINA",14,11754,1023,53739
TH,THAILAND,137,34475,137,34475
GB,UNITED KINGDOM,9,5877,1712,476488
US,UNITED STATES,0,0,25,14766
SUM,SUM,157264,13659212,1848697,134082685
