"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2018', 'Quantity')","('Sept 2018', 'CIF (Baht)')","('Jan - Sept 2018', 'Quantity')","('Jan - Sept 2018', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,11000,677596
AT,AUSTRIA,0,0,25200,2954095
BE,BELGIUM,58685,5731809,424256,40515535
CA,CANADA,10000,1941229,34225,8579872
CN,CHINA,1051133,48245904,7340859,315600514
DK,DENMARK,0,0,0,2609
EG,EGYPT,0,0,115,9202
FR,FRANCE,0,0,12550,1548718
DE,GERMANY,21813,1915955,188291,17182636
HK,HONG KONG,0,0,150,34350
IN,INDIA,2025,253812,39550,4308122
ID,INDONESIA,0,0,555,213276
IT,ITALY,75,23784,10235,3636450
JP,JAPAN,265946,32149055,3075413,360098143
KR,"KOREA,REPUBLIC OF",537325,33501226,3101010,179814913
KW,KUWAIT,0,0,200,109520
LU,LUXEMBOURG,0,0,38,54423
MY,MALAYSIA,52625,3035158,944264,47211599
NL,NETHERLANDS,0,0,19911,2815067
QA,QATAR,76500,2993326,510000,19603485
SA,SAUDI ARABIA,112000,4648502,681000,28063384
SG,SINGAPORE,788528,35193667,19182479,875953522
ES,SPAIN,0,0,134400,11126835
SE,SWEDEN,0,0,5,1597
CH,SWITZERLAND,0,0,25,45998
TW,"TAIWAN, PROVINCE OF CHINA",24500,1159982,179247,15512906
TH,THAILAND,52011,1558337,95199,4245224
AE,UNITED ARAB EMIRATES,426750,18390942,2416960,99636072
GB,UNITED KINGDOM,400,151388,76732,6818731
US,UNITED STATES,707778,61647847,2835025,349161235
VN,VIETNAM,0,0,74322,3828658
SUM,SUM,4188094,252541923,41413216,2399364287
