"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2013', 'Quantity')","('May 2013', 'CIF (Baht)')","('Jan - May 2013', 'Quantity')","('Jan - May 2013', 'CIF (Baht)')"
AT,AUSTRIA,0,0,2750,207213
BE,BELGIUM,0,0,77,43197
CA,CANADA,11000,531082,11000,531082
JP,JAPAN,3,1367,347,134271
KR,"KOREA,REPUBLIC OF",2,1302,44002,2112816
NL,NETHERLANDS,0,0,25,8055
QA,QATAR,0,0,76500,3176243
SA,SAUDI ARABIA,49500,2312456,254750,11315362
SK,SLOVAKIA,0,0,5,3733
AE,UNITED ARAB EMIRATES,0,0,200,39639
US,UNITED STATES,0,0,193550,10721580
SUM,SUM,60505,2846207,583206,28293191
