"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2012', 'Quantity')","('Feb 2012', 'CIF (Baht)')","('Jan - Feb 2012', 'Quantity')","('Jan - Feb 2012', 'CIF (Baht)')"
AT,AUSTRIA,25,12759,125,49769
BE,BELGIUM,127,19851,2627,345401
CA,CANADA,100750,4100470,100750,4100470
CN,CHINA,467090,22939322,767102,39241785
FR,FRANCE,450,46515,450,46515
DE,GERMANY,29667,2164544,52117,4588721
HK,HONG KONG,21900,2482675,30375,3766462
ID,INDONESIA,25,4207,25,4207
IL,ISRAEL,0,134,0,134
IT,ITALY,0,2366,0,2366
JP,JAPAN,269795,41041060,467840,71507447
KR,"KOREA,REPUBLIC OF",212830,16708916,591382,45299672
MY,MALAYSIA,42286,3218378,64370,5020075
NL,NETHERLANDS,69500,3442472,120000,7051163
NO,NORWAY,2,1507,8,5818
QA,QATAR,408000,17263799,1203750,51904189
SA,SAUDI ARABIA,495000,20048437,788850,32096705
SG,SINGAPORE,1261835,63124838,3265535,156278702
ES,SPAIN,0,0,22002,2014615
TW,"TAIWAN, PROVINCE OF CHINA",246150,15229367,385324,24515730
TH,THAILAND,60,11161,60,11161
AE,UNITED ARAB EMIRATES,495075,20625289,495075,20625289
GB,UNITED KINGDOM,300,100831,7650,1493555
US,UNITED STATES,760422,49372418,1573552,98063306
VN,VIETNAM,145700,11484598,211825,16344484
SUM,SUM,5026989,293445914,10150794,584377741
