"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2012', 'Quantity')","('Jan 2012', 'CIF (Baht)')","('Jan - Jan 2012', 'Quantity')","('Jan - Jan 2012', 'CIF (Baht)')"
AU,AUSTRALIA,1032,145354,1032,145354
BE,BELGIUM,108040,6387229,108040,6387229
CN,CHINA,520315,37314020,520315,37314020
FI,FINLAND,23375,1418943,23375,1418943
FR,FRANCE,46750,2851012,46750,2851012
DE,GERMANY,20365,4008440,20365,4008440
HK,HONG KONG,923,663690,923,663690
IN,INDIA,19100,1901485,19100,1901485
ID,INDONESIA,2100,172413,2100,172413
IT,ITALY,3200,422456,3200,422456
JP,JAPAN,1060504,88998382,1060504,88998382
KR,"KOREA,REPUBLIC OF",1790852,99573437,1790852,99573437
KW,KUWAIT,24750,1105243,24750,1105243
MY,MALAYSIA,176564,12438334,176564,12438334
NL,NETHERLANDS,119000,10789979,119000,10789979
QA,QATAR,16500,741262,16500,741262
SA,SAUDI ARABIA,5956000,254453433,5956000,254453433
SG,SINGAPORE,484907,28212476,484907,28212476
ES,SPAIN,11000,1198712,11000,1198712
TW,"TAIWAN, PROVINCE OF CHINA",14712,1911994,14712,1911994
AE,UNITED ARAB EMIRATES,581727,24930180,581727,24930180
US,UNITED STATES,146417,9830592,146417,9830592
VN,VIETNAM,124029,5169043,124029,5169043
SUM,SUM,11252162,594638109,11252162,594638109
