"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2019', 'Quantity')","('Jul 2019', 'CIF (Baht)')","('Jan - Jul 2019', 'Quantity')","('Jan - Jul 2019', 'CIF (Baht)')"
AT,AUSTRIA,0,0,18000,1778404
BE,BELGIUM,150000,14587795,595325,49791035
BR,BRAZIL,50,40144,50,40144
CA,CANADA,0,0,12250,3435129
CN,CHINA,859402,32600302,5856392,208587247
CZ,CZECH REPUBLIC,0,0,100,12296
FI,FINLAND,0,0,50,5414
FR,FRANCE,135,45009,635,171301
DE,GERMANY,21250,1768755,138577,10402177
HK,HONG KONG,23,3464,138619,1503463
IN,INDIA,0,0,8600,1526447
ID,INDONESIA,0,0,1,131
IL,ISRAEL,0,0,20,17567
IT,ITALY,11000,1341820,39865,3046011
JP,JAPAN,323436,38495679,2783235,240263060
KR,"KOREA,REPUBLIC OF",365875,20856886,3618882,204912822
LU,LUXEMBOURG,500,43973,12500,854475
MY,MALAYSIA,36400,951132,188672,9726234
NL,NETHERLANDS,3000,289820,15121,1900030
NO,NORWAY,0,0,1,860
PH,PHILIPPINES,0,0,25007,235271
QA,QATAR,76500,2573870,76500,2573870
SA,SAUDI ARABIA,2000,85055,116300,4684781
SG,SINGAPORE,2343435,92054582,13241379,534037997
ES,SPAIN,8750,751424,50550,5393562
SE,SWEDEN,0,0,40000,2772286
CH,SWITZERLAND,150,10607,150,10607
TW,"TAIWAN, PROVINCE OF CHINA",6630,766614,61117,4671431
TH,THAILAND,97600,3509081,1475270,29558423
TR,TÜRKIYE,23375,713757,50750,1507039
UA,UKRAINE,0,0,10,2752
AE,UNITED ARAB EMIRATES,137150,5328072,561150,23031583
GB,UNITED KINGDOM,2005,391454,56979,3401197
US,UNITED STATES,1782147,75966462,5925461,441741604
VN,VIETNAM,101000,5119887,508280,24913523
SUM,SUM,6351813,298295644,35615798,1816510173
