"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2014', 'Quantity')","('Sept 2014', 'CIF (Baht)')","('Jan - Sept 2014', 'Quantity')","('Jan - Sept 2014', 'CIF (Baht)')"
BE,BELGIUM,0,0,26500,2832887
CN,CHINA,196,10416,110236,9236531
DE,GERMANY,16,99070,316,121468
IN,INDIA,600,63961,296680,25117640
ID,INDONESIA,0,0,100,666
IT,ITALY,0,0,2750,495917
JP,JAPAN,60200,5255058,128600,13515843
KR,"KOREA,REPUBLIC OF",8400,529038,143700,12068953
MY,MALAYSIA,870,769001,2245,1205103
NZ,NEW ZEALAND,0,0,50,15511
SG,SINGAPORE,0,0,280520,14258971
SE,SWEDEN,4200,525000,31825,6170069
TH,THAILAND,0,0,50,11759
AE,UNITED ARAB EMIRATES,24700,1386209,340650,18915865
US,UNITED STATES,13325,1007119,473161,36189818
SUM,SUM,112507,9644872,1837383,140157001
