"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2018', 'Quantity')","('Jun 2018', 'CIF (Baht)')","('Jan - Jun 2018', 'Quantity')","('Jan - Jun 2018', 'CIF (Baht)')"
CN,CHINA,20,8117,18222,1759434
DE,GERMANY,0,0,7025,862332
JP,JAPAN,3000,230165,27000,2091208
KR,"KOREA,REPUBLIC OF",22950,1483967,23150,1494707
NL,NETHERLANDS,110000,5308549,501000,24119153
SA,SAUDI ARABIA,195750,8450934,713250,29258275
SG,SINGAPORE,681500,44138816,3529850,225564775
ES,SPAIN,8800,565706,77950,4044984
TH,THAILAND,25,17268,25,17268
AE,UNITED ARAB EMIRATES,49875,2031871,1110175,45558934
GB,UNITED KINGDOM,0,0,25,14852
US,UNITED STATES,11000,586854,136648,10222978
SUM,SUM,1082920,62822247,6144320,345008900
