"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2019', 'Quantity')","('Dec 2019', 'CIF (Baht)')","('Jan - Dec 2019', 'Quantity')","('Jan - Dec 2019', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,99530,3234073
AT,AUSTRIA,23,21847,739,327169
BE,BELGIUM,33080,1196453,888465,40618583
BR,BRAZIL,24800,1808383,582675,50033138
CA,CANADA,11000,568099,352008,15753463
CN,CHINA,183477,8407690,929711,45808959
CZ,CZECH REPUBLIC,0,0,60,21456
FI,FINLAND,0,0,307025,16898654
FR,FRANCE,24750,1262897,1221975,63839505
GE,GEORGIA,0,0,8250,720286
DE,GERMANY,28500,5070750,1056027,103862238
HK,HONG KONG,0,0,3,2329
IN,INDIA,12000,834831,255801,8424025
ID,INDONESIA,700,52161,6025,280977
IT,ITALY,454180,21427143,2332797,120104711
JP,JAPAN,1088157,53177918,12827266,689730286
KR,"KOREA,REPUBLIC OF",949225,28011533,6426151,233651622
KW,KUWAIT,371250,9684408,6286500,200036258
LA,LAO PDR,0,0,2,4500
MY,MALAYSIA,0,0,11812049,431063752
NL,NETHERLANDS,11004,967735,12139,1173980
NO,NORWAY,0,0,326,79921
PH,PHILIPPINES,0,0,507,27485
QA,QATAR,1743340,49721954,19837000,680904799
SA,SAUDI ARABIA,717750,19140391,20199275,666129433
SG,SINGAPORE,2477320,70387551,24876867,841623710
ES,SPAIN,0,0,33040,1354071
CH,SWITZERLAND,0,0,100,29211
TW,"TAIWAN, PROVINCE OF CHINA",132000,5699362,3459585,136658191
TH,THAILAND,18850,666503,127468,4866047
AE,UNITED ARAB EMIRATES,1065375,29810959,13584220,464611067
GB,UNITED KINGDOM,0,0,485,239576
US,UNITED STATES,5468170,150920372,27011832,1501596065
VN,VIETNAM,0,0,25,3606
SUM,SUM,14814951,458838940,154535928,6323713146
