"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2014', 'Quantity')","('Oct 2014', 'CIF (Baht)')","('Jan - Oct 2014', 'Quantity')","('Jan - Oct 2014', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,48090,1048643
BD,BANGLADESH,0,0,0,32
CN,CHINA,0,0,24000,1613364
FR,FRANCE,0,0,24,10897
IN,INDIA,800,10021,145016,7009772
JP,JAPAN,1000,218899,7600,556352
MY,MALAYSIA,2295,409620,7021,1206319
NL,NETHERLANDS,0,0,2200,148877
SG,SINGAPORE,0,0,153000,7933176
TW,"TAIWAN, PROVINCE OF CHINA",0,0,10000,564523
US,UNITED STATES,136,158027,4758,1484966
SUM,SUM,4231,796567,401709,21576921
