"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2013', 'Quantity')","('Sept 2013', 'CIF (Baht)')","('Jan - Sept 2013', 'Quantity')","('Jan - Sept 2013', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,1100,236038
BE,BELGIUM,60450,3312049,588551,32580024
BR,BRAZIL,0,0,18000,1016922
CA,CANADA,0,0,29000,2108166
CN,CHINA,32618,2573526,300393,16785226
FR,FRANCE,0,0,22000,1745746
DE,GERMANY,0,0,151502,13126700
HK,HONG KONG,3970,266403,6074,525570
ID,INDONESIA,11005,1023382,69843,4831952
IT,ITALY,1050,261682,26490,3532609
JP,JAPAN,91072,7753534,728716,60975545
KR,"KOREA,REPUBLIC OF",611005,31820362,2226827,113220837
MY,MALAYSIA,107730,4937518,1769387,73215375
MX,MEXICO,0,0,25101,3092291
NL,NETHERLANDS,0,0,1,1487
SG,SINGAPORE,25075,876223,94443,3640277
SE,SWEDEN,0,0,0,5481
CH,SWITZERLAND,0,0,30000,3346881
TW,"TAIWAN, PROVINCE OF CHINA",52435,3151491,889710,51887428
GB,UNITED KINGDOM,12000,1504713,12150,1567534
US,UNITED STATES,32000,3638658,325520,34027211
VN,VIETNAM,78702,1474996,541962,10027199
SUM,SUM,1119112,62594537,7856770,431496499
