"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2012', 'Quantity')","('Mar 2012', 'CIF (Baht)')","('Jan - Mar 2012', 'Quantity')","('Jan - Mar 2012', 'CIF (Baht)')"
CN,CHINA,15309,3478306,25073,5824705
DE,GERMANY,2787,222319,152447,9568973
JP,JAPAN,24006,3826476,138831,15674945
KR,"KOREA,REPUBLIC OF",0,0,10,5000
MY,MALAYSIA,126500,6369223,694000,32591011
NL,NETHERLANDS,49500,3183405,99000,6234571
QA,QATAR,102000,4223958,204000,8561921
SA,SAUDI ARABIA,123750,4811057,222750,8901033
SG,SINGAPORE,0,0,24750,930838
TW,"TAIWAN, PROVINCE OF CHINA",166000,5053113,332000,10058211
US,UNITED STATES,0,0,20072,3191109
SUM,SUM,609852,31167857,1912933,101542317
