"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2012', 'Quantity')","('Jun 2012', 'CIF (Baht)')","('Jan - Jun 2012', 'Quantity')","('Jan - Jun 2012', 'CIF (Baht)')"
CN,CHINA,0,0,264000,10417500
IN,INDIA,0,0,106500,5436005
ID,INDONESIA,70750,4334304,283105,21154770
JP,JAPAN,2500,650817,88950,5201052
KR,"KOREA,REPUBLIC OF",0,0,343400,17117931
KW,KUWAIT,222750,10084161,1262250,51656258
MY,MALAYSIA,264000,12567225,4897000,219429089
QA,QATAR,127500,5862840,1708500,67784800
SA,SAUDI ARABIA,1822790,81639811,10105290,418471354
SG,SINGAPORE,64000,3292348,1003400,46670153
AE,UNITED ARAB EMIRATES,346500,14591180,4466750,193768152
US,UNITED STATES,194050,9680637,1517475,71942828
SUM,SUM,3114840,142703323,26046620,1129049892
