"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2017', 'Quantity')","('Oct 2017', 'CIF (Baht)')","('Jan - Oct 2017', 'Quantity')","('Jan - Oct 2017', 'CIF (Baht)')"
AU,AUSTRALIA,770190,29208552,770190,29208552
AT,AUSTRIA,0,0,150,11886
BE,BELGIUM,500,142152,95615,8262439
CN,CHINA,105500,5960747,1194709,57207000
CZ,CZECH REPUBLIC,0,0,24,12687
EG,EGYPT,0,0,25,10871
FI,FINLAND,23375,1480993,23375,1480993
FR,FRANCE,0,0,500,138729
DE,GERMANY,3750,248143,15950,1063683
IN,INDIA,1510,188116,5560,659205
IT,ITALY,0,0,0,2300
JP,JAPAN,254475,13141534,3433655,172082923
KR,"KOREA,REPUBLIC OF",756287,33279952,5727733,251502965
KW,KUWAIT,0,0,24750,1008305
MY,MALAYSIA,74213,10312782,593137,85626921
NL,NETHERLANDS,19000,1508410,38000,3079710
SA,SAUDI ARABIA,420750,16343113,5338040,203204962
SG,SINGAPORE,260440,12697668,916231,56677228
ZA,SOUTH AFRICA,0,0,123750,4550144
TW,"TAIWAN, PROVINCE OF CHINA",72020,3425172,327885,15512424
TH,THAILAND,0,0,8220,310263
AE,UNITED ARAB EMIRATES,0,0,100,45936
US,UNITED STATES,34,24334,51597,4579769
VN,VIETNAM,0,0,300000,4703684
SUM,SUM,2762044,127961668,18989196,900943579
