"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2022', 'Quantity')","('Feb 2022', 'CIF (Baht)')","('Jan - Feb 2022', 'Quantity')","('Jan - Feb 2022', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,16000,711320
BE,BELGIUM,111320,6876776,311540,18539679
BR,BRAZIL,680025,64046808,1011400,92540398
CA,CANADA,0,0,3742,476287
CN,CHINA,57754,3892593,95933,6206298
CZ,CZECH REPUBLIC,1,806,1,806
FR,FRANCE,14000,1011318,25000,1704892
DE,GERMANY,17358,10620486,37310,20533037
ID,INDONESIA,2025,244658,2025,244658
IT,ITALY,435380,28907760,1103675,70947598
JP,JAPAN,1170552,70360898,1970222,120114985
KR,"KOREA,REPUBLIC OF",863000,38184950,1560800,69016826
KW,KUWAIT,247500,10342987,396000,16732692
MY,MALAYSIA,313000,12747440,980025,41500011
OM,OMAN,148500,6220603,643500,27168813
QA,QATAR,1829940,79569653,2899440,126466771
SA,SAUDI ARABIA,792050,33327900,1599830,68252137
SG,SINGAPORE,1405850,61161850,2238200,99834215
TW,"TAIWAN, PROVINCE OF CHINA",98000,5356853,197901,10569130
AE,UNITED ARAB EMIRATES,495000,23115620,545875,25668130
US,UNITED STATES,1204537,69054393,2636154,145500135
SUM,SUM,9885792,525044352,18274573,962728818
