"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2022', 'Quantity')","('May 2022', 'CIF (Baht)')","('Jan - May 2022', 'Quantity')","('Jan - May 2022', 'CIF (Baht)')"
CN,CHINA,0,0,51000,4125939
FR,FRANCE,2100,539157,17515,1928580
DE,GERMANY,700,129723,3500,658218
IN,INDIA,0,0,28412,1745124
IT,ITALY,0,0,220,37760
JP,JAPAN,12720,1012927,274646,19001719
KR,"KOREA,REPUBLIC OF",196330,14473329,1140122,76657960
MY,MALAYSIA,0,0,58690,3866960
NL,NETHERLANDS,0,0,2,3186
RU,RUSSIAN FEDERATION,0,0,8250,1412801
SG,SINGAPORE,680,133327,850,189092
US,UNITED STATES,18,13887,5115,833580
SUM,SUM,212548,16302350,1588322,110460919
