"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2022', 'Quantity')","('Aug 2022', 'CIF (Baht)')","('Jan - Aug 2022', 'Quantity')","('Jan - Aug 2022', 'CIF (Baht)')"
BE,BELGIUM,0,0,25,355
CA,CANADA,174750,9365489,499000,24645195
CN,CHINA,432000,19398857,1411750,68897779
DE,GERMANY,0,0,4500,1188034
JP,JAPAN,87533,8278084,393598,38330457
KR,"KOREA,REPUBLIC OF",652468,62750819,3317669,319685889
LA,LAO PDR,0,0,20000,474907
NL,NETHERLANDS,99000,6753658,452000,30385057
QA,QATAR,0,0,229500,11332514
SA,SAUDI ARABIA,317850,16911020,1905650,94295948
SG,SINGAPORE,2149800,154825042,13878470,909860522
ES,SPAIN,33000,4363890,325710,37064581
AE,UNITED ARAB EMIRATES,495000,24873923,4558728,228614843
US,UNITED STATES,2046302,106966405,7424533,397872402
VN,VIETNAM,0,0,300,50466
SUM,SUM,6487703,414487187,34421433,2162698949
