"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2022', 'Quantity')","('Jan 2022', 'CIF (Baht)')","('Jan - Jan 2022', 'Quantity')","('Jan - Jan 2022', 'CIF (Baht)')"
AT,AUSTRIA,652,1048961,652,1048961
BR,BRAZIL,191,74445,191,74445
CN,CHINA,111750,10493923,111750,10493923
FR,FRANCE,21250,1486520,21250,1486520
DE,GERMANY,9364,2591641,9364,2591641
HK,HONG KONG,2400,679544,2400,679544
ID,INDONESIA,43,19846,43,19846
IT,ITALY,4180,965539,4180,965539
JP,JAPAN,106545,20807383,106545,20807383
KR,"KOREA,REPUBLIC OF",451305,28467421,451305,28467421
MY,MALAYSIA,100624,8100103,100624,8100103
NL,NETHERLANDS,16500,3085991,16500,3085991
SA,SAUDI ARABIA,25,4795,25,4795
SG,SINGAPORE,57560,7991574,57560,7991574
TH,THAILAND,150,28270,150,28270
AE,UNITED ARAB EMIRATES,99000,5145174,99000,5145174
US,UNITED STATES,140681,26139375,140681,26139375
VN,VIETNAM,5000,466731,5000,466731
SUM,SUM,1127220,117597236,1127220,117597236
