"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2019', 'Quantity')","('Sept 2019', 'CIF (Baht)')","('Jan - Sept 2019', 'Quantity')","('Jan - Sept 2019', 'CIF (Baht)')"
BE,BELGIUM,0,0,5500,831101
CA,CANADA,25,10775,25,10775
CN,CHINA,3617,74817,55092,3500394
JP,JAPAN,11000,908784,120552,8898291
KP,KOREA DPR,0,0,50,12505
KR,"KOREA,REPUBLIC OF",0,0,23207,1608623
MY,MALAYSIA,72200,2576265,72200,2576265
NL,NETHERLANDS,22000,959426,400250,17628946
SA,SAUDI ARABIA,49500,1659803,816750,28978712
SG,SINGAPORE,2236255,92092164,16484035,745019455
ES,SPAIN,32675,1614574,705545,37906762
AE,UNITED ARAB EMIRATES,952000,29600804,3421225,115912082
US,UNITED STATES,220875,8906750,1244923,57549143
SUM,SUM,3600147,138404162,23349354,1020433054
