"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2013', 'Quantity')","('Jan 2013', 'CIF (Baht)')","('Jan - Jan 2013', 'Quantity')","('Jan - Jan 2013', 'CIF (Baht)')"
AU,AUSTRALIA,1250,82420,1250,82420
BE,BELGIUM,173375,11246513,173375,11246513
CN,CHINA,994543,65765419,994543,65765419
FR,FRANCE,2162,257970,2162,257970
DE,GERMANY,6000,3601048,6000,3601048
HK,HONG KONG,113,103278,113,103278
IN,INDIA,3175,84770,3175,84770
ID,INDONESIA,21500,2930201,21500,2930201
JP,JAPAN,1064914,86796196,1064914,86796196
KR,"KOREA,REPUBLIC OF",2340362,138116528,2340362,138116528
KW,KUWAIT,49500,2107363,49500,2107363
MY,MALAYSIA,93636,11751548,93636,11751548
SA,SAUDI ARABIA,3578240,158412033,3578240,158412033
SG,SINGAPORE,990416,57311140,990416,57311140
ES,SPAIN,11000,1231217,11000,1231217
TW,"TAIWAN, PROVINCE OF CHINA",176425,8441118,176425,8441118
AE,UNITED ARAB EMIRATES,159500,6867635,159500,6867635
US,UNITED STATES,574814,26629217,574814,26629217
VN,VIETNAM,1589,441389,1589,441389
SUM,SUM,10242514,582177003,10242514,582177003
