"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2014', 'Quantity')","('Dec 2014', 'CIF (Baht)')","('Jan - Dec 2014', 'Quantity')","('Jan - Dec 2014', 'CIF (Baht)')"
AU,AUSTRALIA,17250,753703,212275,7983078
AT,AUSTRIA,0,0,1482,175481
BE,BELGIUM,90400,5769675,1388685,92349615
BR,BRAZIL,0,0,24750,2164826
CA,CANADA,18711,1654704,18711,1654704
CN,CHINA,117850,7246096,760176,40591026
DK,DENMARK,0,445,0,8546
FI,FINLAND,0,0,24750,1597401
FR,FRANCE,0,0,35750,2497712
DE,GERMANY,1880,2755476,47994,41386231
GT,GUATEMALA,0,0,25,36357
IN,INDIA,0,0,4156,413768
ID,INDONESIA,125,21826,148303,7926911
IT,ITALY,14000,610519,14050,635917
JP,JAPAN,1121095,66137632,17785786,1135319764
KR,"KOREA,REPUBLIC OF",25,3701,205323,11884372
KW,KUWAIT,371250,18634967,7573500,384656625
MY,MALAYSIA,876000,47473015,9228662,502713838
NL,NETHERLANDS,100,34559,33270,2140330
NZ,NEW ZEALAND,0,0,50,27779
PE,PERU,0,0,140,83570
QA,QATAR,602500,30739300,14775674,789191610
RU,RUSSIAN FEDERATION,100,56644,100,56644
SA,SAUDI ARABIA,2598750,130012483,32549630,1669779341
SG,SINGAPORE,922580,49426600,16691340,890707056
SE,SWEDEN,0,0,22000,1709708
TW,"TAIWAN, PROVINCE OF CHINA",21000,484378,167955,5128830
TH,THAILAND,0,0,95,167177
AE,UNITED ARAB EMIRATES,766500,36981321,8132975,416599263
GB,UNITED KINGDOM,0,0,265,81410
US,UNITED STATES,208733,12728093,2136771,126586191
SUM,SUM,7748849,411525137,111984643,6136255081
