"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2013', 'Quantity')","('Mar 2013', 'CIF (Baht)')","('Jan - Mar 2013', 'Quantity')","('Jan - Mar 2013', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,100,28405
BE,BELGIUM,28501,1564541,88551,5026332
CA,CANADA,0,0,12000,638477
CN,CHINA,26520,1375142,76791,3760989
FR,FRANCE,11000,858174,11000,858174
DE,GERMANY,21000,1830727,64500,5698499
HK,HONG KONG,0,0,244,24657
ID,INDONESIA,10016,804866,10026,807100
IT,ITALY,6800,940411,6800,940411
JP,JAPAN,103996,8174179,246621,20151613
KR,"KOREA,REPUBLIC OF",64000,3168643,490450,23603442
MY,MALAYSIA,344259,13236107,714959,28384960
MX,MEXICO,0,0,1973,266895
NL,NETHERLANDS,0,0,1,1487
SG,SINGAPORE,25400,959955,43000,1729633
SE,SWEDEN,0,5481,0,5481
CH,SWITZERLAND,0,0,10000,1115660
TW,"TAIWAN, PROVINCE OF CHINA",235535,13186685,408275,23215802
GB,UNITED KINGDOM,50,28050,150,62821
US,UNITED STATES,14550,1179337,57380,5492001
VN,VIETNAM,81750,1265809,140990,2896077
SUM,SUM,973377,48578107,2383811,124708916
