"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2015', 'Quantity')","('Mar 2015', 'CIF (Baht)')","('Jan - Mar 2015', 'Quantity')","('Jan - Mar 2015', 'CIF (Baht)')"
AU,AUSTRALIA,6000,420050,6000,420050
AT,AUSTRIA,0,0,5500,346202
BE,BELGIUM,116860,5897646,415330,22108969
BR,BRAZIL,25000,2210525,94500,8394845
CA,CANADA,0,0,11000,664926
CN,CHINA,54200,3560483,105400,7078904
FI,FINLAND,0,0,22000,1395254
DE,GERMANY,2170,3246577,20000,11143458
ID,INDONESIA,45251,1997109,45251,1997109
IT,ITALY,26060,1060366,31204,1812046
JP,JAPAN,1724145,97881169,4736199,273555924
KR,"KOREA,REPUBLIC OF",17000,845869,46000,2464494
KW,KUWAIT,569250,20740829,2326500,98166369
MY,MALAYSIA,853675,35637907,1253175,53198266
NL,NETHERLANDS,100,66350,100,66350
QA,QATAR,357000,13372531,1581000,69885639
SA,SAUDI ARABIA,3923500,145717882,9091500,364365107
SG,SINGAPORE,2177950,83850854,5829609,235373532
TW,"TAIWAN, PROVINCE OF CHINA",1000,128281,27575,2191088
AE,UNITED ARAB EMIRATES,1693800,66248363,3376800,132025227
GB,UNITED KINGDOM,20,4738,20,4738
US,UNITED STATES,281066,17979264,781558,46240739
SUM,SUM,11874047,500866793,29806221,1332899236
