"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2022', 'Quantity')","('Oct 2022', 'CIF (Baht)')","('Jan - Oct 2022', 'Quantity')","('Jan - Oct 2022', 'CIF (Baht)')"
AU,AUSTRALIA,600,1260,18152,1329733
AT,AUSTRIA,0,0,11500,1348473
BE,BELGIUM,30000,4806934,274352,30054491
BR,BRAZIL,0,0,9000,2243370
CA,CANADA,50000,2326812,275845,20175093
CN,CHINA,757690,30299828,11623078,533301729
FI,FINLAND,0,0,25,18143
FR,FRANCE,0,0,392,135795
DE,GERMANY,21822,2496706,211423,27553673
HK,HONG KONG,0,0,74085,1405408
IS,ICELAND,0,0,2000,263742
IN,INDIA,0,0,41227,5189348
ID,INDONESIA,1500,151002,3000,295676
IL,ISRAEL,0,0,39975,3824940
IT,ITALY,0,0,35300,9238013
JP,JAPAN,319155,34996907,2614120,344192196
KR,"KOREA,REPUBLIC OF",142900,6970787,2895371,219560397
MY,MALAYSIA,529,64163,271961,20443445
NL,NETHERLANDS,200,125627,9075,2043964
AN,NETHERLANDS ANTILLES,5000,650451,15000,1839512
NZ,NEW ZEALAND,0,0,737,491579
OM,OMAN,0,0,99200,4442458
QA,QATAR,0,0,229500,12986389
SA,SAUDI ARABIA,49500,2211688,695750,38068847
SG,SINGAPORE,543800,31450333,6357551,389999619
ES,SPAIN,0,0,1206,456070
CH,SWITZERLAND,0,0,176,270567
TW,"TAIWAN, PROVINCE OF CHINA",2811,431756,79188,8896149
TH,THAILAND,0,0,17645,1812138
TN,TUNISIA,0,0,94,30884
AE,UNITED ARAB EMIRATES,0,0,514475,24043820
GB,UNITED KINGDOM,0,0,16693,2479673
US,UNITED STATES,335947,50326255,5944294,608922903
VN,VIETNAM,320,34579,74339,8179041
SUM,SUM,2261774,167345088,32455729,2325537278
