"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2019', 'Quantity')","('Nov 2019', 'CIF (Baht)')","('Jan - Nov 2019', 'Quantity')","('Jan - Nov 2019', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,99530,3234073
AT,AUSTRIA,1,459,716,305322
BE,BELGIUM,0,0,855385,39422130
BR,BRAZIL,38750,3182835,557875,48224755
CA,CANADA,0,0,341008,15185364
CN,CHINA,20618,1741923,746234,37401269
CZ,CZECH REPUBLIC,0,0,60,21456
FI,FINLAND,0,0,307025,16898654
FR,FRANCE,24750,1299099,1197225,62576608
GE,GEORGIA,0,0,8250,720286
DE,GERMANY,3150,4743535,1027527,98791488
HK,HONG KONG,0,0,3,2329
IN,INDIA,0,0,243801,7589194
ID,INDONESIA,0,0,5325,228816
IT,ITALY,431620,20361274,1878617,98677568
JP,JAPAN,1108951,55887084,11739109,636552368
KR,"KOREA,REPUBLIC OF",557025,17617777,5476926,205640089
KW,KUWAIT,519750,13595194,5915250,190351850
LA,LAO PDR,0,0,2,4500
MY,MALAYSIA,245804,7521696,11812049,431063752
NL,NETHERLANDS,0,0,1135,206245
NO,NORWAY,307,75161,326,79921
PH,PHILIPPINES,0,0,507,27485
QA,QATAR,612000,16839007,18093660,631182845
SA,SAUDI ARABIA,1410750,39559362,19481525,646989042
SG,SINGAPORE,1643280,47553440,22399547,771236159
ES,SPAIN,0,0,33040,1354071
CH,SWITZERLAND,0,0,100,29211
TW,"TAIWAN, PROVINCE OF CHINA",300275,11926846,3327585,130958829
TH,THAILAND,0,0,108618,4199544
AE,UNITED ARAB EMIRATES,793000,20360643,12518845,434800108
GB,UNITED KINGDOM,0,0,485,239576
US,UNITED STATES,4975696,144005203,21543662,1350675693
VN,VIETNAM,0,0,25,3606
SUM,SUM,12685727,406270538,139720977,5864874206
