"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2019', 'Quantity')","('Sept 2019', 'CIF (Baht)')","('Jan - Sept 2019', 'Quantity')","('Jan - Sept 2019', 'CIF (Baht)')"
CA,CANADA,0,0,8750,1339038
CN,CHINA,3624,1640179,15648,7380237
DE,GERMANY,4409,984539,4411,985217
HK,HONG KONG,0,0,4,1167
IT,ITALY,2,1075,2,1075
JP,JAPAN,320,156224,102826,18434000
KR,"KOREA,REPUBLIC OF",0,0,10000,930972
MY,MALAYSIA,0,89,10,1811
NL,NETHERLANDS,0,0,500,90946
SG,SINGAPORE,0,0,18005,6595334
SE,SWEDEN,0,0,0,32272
CH,SWITZERLAND,0,685,0,685
TW,"TAIWAN, PROVINCE OF CHINA",0,0,73,6875
TR,TÜRKIYE,0,0,30,961
GB,UNITED KINGDOM,92,42929,231,120878
US,UNITED STATES,0,0,104266,3762114
VN,VIETNAM,0,0,45,7251
SUM,SUM,8447,2825720,264801,39690833
