"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2012', 'Quantity')","('Aug 2012', 'CIF (Baht)')","('Jan - Aug 2012', 'Quantity')","('Jan - Aug 2012', 'CIF (Baht)')"
CN,CHINA,0,0,286444,11544185
HK,HONG KONG,20956,1034032,20956,1034032
IN,INDIA,0,0,106500,5436005
ID,INDONESIA,32550,3047405,456355,30898616
IL,ISRAEL,360,37150,360,37150
JP,JAPAN,2000,188417,91950,5510834
KR,"KOREA,REPUBLIC OF",93800,5076279,437200,22194210
KW,KUWAIT,123750,4766773,1732500,69702305
MY,MALAYSIA,859500,35529181,5895500,260955073
QA,QATAR,382500,14460145,2575500,101760276
SA,SAUDI ARABIA,1640750,65969318,14014290,577906561
SG,SINGAPORE,81500,3596350,1164900,54052626
TR,TÜRKIYE,0,0,12,4711
AE,UNITED ARAB EMIRATES,717750,28797611,6001250,255602431
US,UNITED STATES,467981,21745568,2169106,102158232
SUM,SUM,4423397,184248229,34952823,1498797247
