"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2021', 'Quantity')","('Feb 2021', 'CIF (Baht)')","('Jan - Feb 2021', 'Quantity')","('Jan - Feb 2021', 'CIF (Baht)')"
CN,CHINA,2987,165285,6987,658982
FR,FRANCE,2000,387318,4500,869567
IN,INDIA,1,65,1,65
IL,ISRAEL,12000,688155,24000,1377456
IT,ITALY,1,37689,1,37689
JP,JAPAN,22280,3826621,52505,7017864
KR,"KOREA,REPUBLIC OF",176500,7629162,312500,13385388
MX,MEXICO,734,33375,734,33375
GB,UNITED KINGDOM,0,0,1000,244279
US,UNITED STATES,1575,130727,1575,130727
SUM,SUM,218078,12898397,403803,23755392
