"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2015', 'Quantity')","('Jul 2015', 'CIF (Baht)')","('Jan - Jul 2015', 'Quantity')","('Jan - Jul 2015', 'CIF (Baht)')"
AU,AUSTRALIA,88958,2389482,648082,16922701
AT,AUSTRIA,0,0,11000,616407
BE,BELGIUM,99340,6436971,697950,38602685
BR,BRAZIL,20000,2283736,199500,18324227
CA,CANADA,18711,1775702,29711,2440628
CN,CHINA,3000,218132,2293660,104851955
FI,FINLAND,0,0,46750,2574007
FR,FRANCE,25,10026,1600,92997
DE,GERMANY,1755,4096173,251845,35394047
HK,HONG KONG,0,0,22,4633
IN,INDIA,0,0,1000,167776
ID,INDONESIA,0,0,45251,1997109
IL,ISRAEL,25,12667,25,12667
IT,ITALY,48000,2428659,143211,7862104
JP,JAPAN,1684050,78260465,10415137,567657811
KR,"KOREA,REPUBLIC OF",56050,2840096,731855,34384050
KW,KUWAIT,767250,35787710,4974750,212415280
MY,MALAYSIA,229000,11020713,2375775,104758769
NL,NETHERLANDS,0,16185,100,82535
QA,QATAR,727000,35286807,4699500,210780557
SA,SAUDI ARABIA,3044250,141753765,21487850,906910038
SG,SINGAPORE,1497400,73405534,12903089,561505220
CH,SWITZERLAND,0,0,80,74769
TW,"TAIWAN, PROVINCE OF CHINA",0,0,51575,3312557
TH,THAILAND,0,0,26,4627
AE,UNITED ARAB EMIRATES,495300,22513283,8516350,353267796
GB,UNITED KINGDOM,0,0,20,4738
US,UNITED STATES,444760,21478199,2249713,118390453
VN,VIETNAM,0,0,500,32442
SUM,SUM,9224874,442014305,72775927,3303445585
