"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2017', 'Quantity')","('Jun 2017', 'CIF (Baht)')","('Jan - Jun 2017', 'Quantity')","('Jan - Jun 2017', 'CIF (Baht)')"
CA,CANADA,0,0,20,13309
CN,CHINA,0,0,14210,1156764
FR,FRANCE,45970,3047057,99282,6944222
DE,GERMANY,1051,175629,2633,465969
JP,JAPAN,211318,10623860,593164,32083615
KR,"KOREA,REPUBLIC OF",122860,5882633,1442410,73152921
RU,RUSSIAN FEDERATION,8250,1424693,15000,3046389
SG,SINGAPORE,0,0,1,387
US,UNITED STATES,0,0,329,156503
SUM,SUM,389449,21153872,2167049,117020079
