"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2015', 'Quantity')","('Aug 2015', 'CIF (Baht)')","('Jan - Aug 2015', 'Quantity')","('Jan - Aug 2015', 'CIF (Baht)')"
BE,BELGIUM,0,0,120000,12485920
CA,CANADA,0,0,12701,584044
CN,CHINA,0,0,63150,4647478
IT,ITALY,0,0,50,21948
JP,JAPAN,3225,489246,25225,2140876
KR,"KOREA,REPUBLIC OF",0,0,117177,6334280
SG,SINGAPORE,686000,32338419,6396000,285318052
TW,"TAIWAN, PROVINCE OF CHINA",0,0,18000,1377000
AE,UNITED ARAB EMIRATES,134600,7203118,384200,19366161
US,UNITED STATES,123828,7927224,262238,17463162
SUM,SUM,947653,47958007,7398741,349738921
