"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2021', 'Quantity')","('May 2021', 'CIF (Baht)')","('Jan - May 2021', 'Quantity')","('Jan - May 2021', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,1250,69089
AT,AUSTRIA,0,0,45050,2400488
BE,BELGIUM,746640,40501409,1571015,75055937
BR,BRAZIL,0,0,6810,1052346
CA,CANADA,0,0,40800,3869231
CN,CHINA,137700,11034993,585100,37790643
FR,FRANCE,11000,567453,37300,2102275
DE,GERMANY,32860,3158636,211477,17153549
HK,HONG KONG,0,0,156,26274
IN,INDIA,0,0,127,30770
ID,INDONESIA,27750,2525929,139025,12796562
IT,ITALY,24750,1424866,126500,6221460
JP,JAPAN,999131,60951538,5394645,348815166
KR,"KOREA,REPUBLIC OF",1430695,66733913,10251570,432378431
MY,MALAYSIA,58500,6426011,376470,34893966
MX,MEXICO,0,0,52,36842
NL,NETHERLANDS,259770,15862866,810321,47505880
PH,PHILIPPINES,0,0,13,4817
SA,SAUDI ARABIA,74250,3789554,1463250,58473602
SG,SINGAPORE,3379275,186582068,20220013,953887501
ES,SPAIN,10450,837800,20900,1640337
TW,"TAIWAN, PROVINCE OF CHINA",87388,5073568,267293,13973319
TH,THAILAND,26000,1651234,26650,1686234
AE,UNITED ARAB EMIRATES,272250,13330359,2248311,91704947
US,UNITED STATES,14161,1644364,61152,7624248
VN,VIETNAM,3000,168833,187750,7346010
SUM,SUM,7595570,422265394,44093000,2158539924
