"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2020', 'Quantity')","('Sept 2020', 'CIF (Baht)')","('Jan - Sept 2020', 'Quantity')","('Jan - Sept 2020', 'CIF (Baht)')"
BE,BELGIUM,0,0,7,2851
CN,CHINA,15500,903587,39800,2229379
FR,FRANCE,100600,3011534,291633,12385998
DE,GERMANY,700,125429,4904,838190
IN,INDIA,79260,2196584,223980,7695014
IT,ITALY,0,0,1125,248530
JP,JAPAN,48968,2418576,353743,20006213
KR,"KOREA,REPUBLIC OF",53260,2091459,1673680,77188370
NL,NETHERLANDS,0,0,0,16835
RU,RUSSIAN FEDERATION,0,0,24750,3888565
US,UNITED STATES,0,0,2400,956240
SUM,SUM,298288,10747169,2616022,125456185
