"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2012', 'Quantity')","('Nov 2012', 'CIF (Baht)')","('Jan - Nov 2012', 'Quantity')","('Jan - Nov 2012', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,14717,905661
AT,AUSTRIA,0,0,9000,1831928
BE,BELGIUM,0,755,339718,22869823
CA,CANADA,3000,1138331,118000,10052759
CN,CHINA,204262,10357763,2642102,138071689
FR,FRANCE,200,6169,27921,3319108
DE,GERMANY,161200,14196996,734935,69117607
HK,HONG KONG,0,0,81965,8506484
IN,INDIA,0,0,20000,1993637
ID,INDONESIA,0,0,265,35765
IL,ISRAEL,0,0,24,8578
IT,ITALY,0,0,11500,1455213
JP,JAPAN,227117,30744862,3024360,425641484
KR,"KOREA,REPUBLIC OF",646352,42036420,6525791,475819270
KW,KUWAIT,0,0,74250,2959649
MY,MALAYSIA,38603,3075398,270471,18599801
NL,NETHERLANDS,11000,1085860,210630,15031356
NO,NORWAY,1,1058,13,9264
PH,PHILIPPINES,0,0,625,63403
QA,QATAR,153000,6772897,3897750,170996520
RU,RUSSIAN FEDERATION,0,0,1,1253
SA,SAUDI ARABIA,1054800,45418252,6364900,273312849
SG,SINGAPORE,2161075,110269003,22383618,1150729923
ES,SPAIN,4560,546478,47087,4181164
SE,SWEDEN,0,0,34400,1550331
CH,SWITZERLAND,0,0,3800,419548
TW,"TAIWAN, PROVINCE OF CHINA",223765,13191209,2081588,130319866
TH,THAILAND,0,0,2601,103092
AE,UNITED ARAB EMIRATES,74500,4337585,3398900,150064345
GB,UNITED KINGDOM,1000,153316,36937,6706667
US,UNITED STATES,596972,53982894,11253079,1052906897
VN,VIETNAM,250,250,558205,42396281
SUM,SUM,5561657,337315496,64169153,4179981215
