"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2022', 'Quantity')","('May 2022', 'CIF (Baht)')","('Jan - May 2022', 'Quantity')","('Jan - May 2022', 'CIF (Baht)')"
AT,AUSTRIA,500,149115,26675,3198243
BE,BELGIUM,7,1097,7,1097
BN,BRUNEI DARUSSALAM,0,0,1,300
CN,CHINA,4231835,217528486,10729232,555998375
DK,DENMARK,0,0,1,1887
FI,FINLAND,0,0,0,400
FR,FRANCE,0,0,2500,285986
DE,GERMANY,37965,5086026,60416,8236508
HK,HONG KONG,7,6670,137,54308
IN,INDIA,8025,330956,628561,26503500
ID,INDONESIA,27500,3448161,164900,17536427
IT,ITALY,50,19351,4050,396093
JP,JAPAN,907200,54944347,3220722,236910263
KR,"KOREA,REPUBLIC OF",1180450,70211776,6040630,328115354
LV,LATVIA,1000,118306,1000,118306
MY,MALAYSIA,10000,1400974,545647,43830906
MX,MEXICO,0,0,155,294728
NL,NETHERLANDS,99000,10679293,247600,25005024
NZ,NEW ZEALAND,50,73526,3050,303644
OM,OMAN,618750,29643661,1881000,83266610
SA,SAUDI ARABIA,2406310,114641794,10352135,461480890
SG,SINGAPORE,592975,32481380,2836838,143278410
ZA,SOUTH AFRICA,0,0,24750,1133373
CH,SWITZERLAND,0,0,100,38234
TW,"TAIWAN, PROVINCE OF CHINA",23829,2721862,286213,24305685
TH,THAILAND,0,0,0,324
AE,UNITED ARAB EMIRATES,1445151,69547149,4762251,213143472
GB,UNITED KINGDOM,0,0,33,66166
US,UNITED STATES,9069,1253152,40638,9794952
VN,VIETNAM,457201,22496394,1291853,50802559
SUM,SUM,12056874,636783476,43151095,2234102024
